"racename","driver","qualrawdcoef","qualprednvalid"
"2011germany","asutil",91.984,2
"2011germany","vpetrov",92.161,2
"2011germany","nhulkenberg",NA,0
"2011germany","nkarthikeyan",NA,0
"2011hungary","svettel",79.815,1
"2011hungary","sperez",82.066,1.689
"2011hungary","pdiresta",82.039,1.033
"2011hungary","vpetrov",82.063,1
"2011hungary","kkobayashi",82.318,1.7
"2011hungary","nheidfeld",82.247,1.056
"2011hungary","rbarrichello",82.37,1.878
"2011hungary","jalguersuari",82.616,2
"2011hungary","pmaldonado",83.035,1
"2011hungary","hkovalainen",83.55,1
"2011hungary","jtrulli",83.722,1
"2011hungary","lhamilton",79.978,1
"2011hungary","tglock",85.482,1
"2011hungary","vliuzzi",85.511,1
"2011hungary","dricciardo",85.667,1
"2011hungary","sbuemi",83.258,1
"2011hungary","jdambrosio",85.698,1
"2011hungary","jbutton",80.024,1
"2011hungary","fmassa",80.35,1
"2011hungary","falonso",80.365,1
"2011hungary","mwebber",80.474,1
"2011hungary","nrosberg",81.069,1.622
"2011hungary","asutil",81.612,2
"2011hungary","mschumacher",81.769,2
"2011hungary","nhulkenberg",NA,0
"2011hungary","bsenna",NA,0
"2011belgium","svettel",NA,0
"2011belgium","vpetrov",NA,0
"2011belgium","sbuemi",NA,0
"2011belgium","kkobayashi",NA,0
"2011belgium","jbutton",NA,0
"2011belgium","rbarrichello",NA,0
"2011belgium","asutil",NA,0
"2011belgium","hkovalainen",NA,0
"2011belgium","pdiresta",NA,0
"2011belgium","jtrulli",NA,0
"2011belgium","tglock",NA,0
"2011belgium","lhamilton",NA,0
"2011belgium","jdambrosio",NA,0
"2011belgium","pmaldonado",NA,0
"2011belgium","vliuzzi",NA,0
"2011belgium","dricciardo",NA,0
"2011belgium","mschumacher",NA,0
"2011belgium","mwebber",NA,0
"2011belgium","fmassa",NA,0
"2011belgium","nrosberg",NA,0
"2011belgium","jalguersuari",NA,0
"2011belgium","bsenna",NA,0
"2011belgium","falonso",NA,0
"2011belgium","sperez",NA,0
"2011belgium","nhulkenberg",NA,0
"2011belgium","kchandhok",NA,0
"2011italy","svettel",82.275,1
"2011italy","bsenna",84.606,1.322
"2011italy","pdiresta",84.492,1.067
"2011italy","asutil",84.526,1
"2011italy","rbarrichello",85.018,1.878
"2011italy","pmaldonado",84.972,2
"2011italy","sperez",85.188,1.933
"2011italy","sbuemi",85.258,2
"2011italy","kkobayashi",85.22,1.678
"2011italy","jalguersuari",85.437,1
"2011italy","jtrulli",86.75,1
"2011italy","lhamilton",82.725,1
"2011italy","hkovalainen",87.287,1
"2011italy","tglock",87.694,1
"2011italy","jdambrosio",87.712,1
"2011italy","dricciardo",88.157,1
"2011italy","vliuzzi",88.334,1
"2011italy","jbutton",82.777,1
"2011italy","falonso",82.841,1
"2011italy","mwebber",82.972,1
"2011italy","fmassa",83.188,1
"2011italy","vpetrov",83.794,2
"2011italy","mschumacher",83.882,2
"2011italy","nrosberg",84.108,1.811
"2011italy","nhulkenberg",NA,0
"2011italy","kchandhok",NA,0
"2011singapore","svettel",104.381,1
"2011singapore","pdiresta",107.117,1.1
"2011singapore","sperez",107.134,2
"2011singapore","rbarrichello",107.56,1.756
"2011singapore","pmaldonado",108.457,2
"2011singapore","sbuemi",108.161,2
"2011singapore","bsenna",108.247,1.389
"2011singapore","jalguersuari",109.192,2
"2011singapore","kkobayashi",107.381,0.789
"2011singapore","vpetrov",NA,0
"2011singapore","hkovalainen",110.275,1
"2011singapore","mwebber",104.732,1
"2011singapore","jtrulli",110.339,1
"2011singapore","tglock",111.481,1
"2011singapore","jdambrosio",111.69,1
"2011singapore","dricciardo",111.731,1
"2011singapore","vliuzzi",112.137,1
"2011singapore","jbutton",104.804,1
"2011singapore","lhamilton",104.809,1
"2011singapore","falonso",104.874,1
"2011singapore","fmassa",105.8,1
"2011singapore","nrosberg",106.013,1.322
"2011singapore","mschumacher",105.651,1
"2011singapore","asutil",106.701,1
"2011singapore","nkarthikeyan",NA,0
"2011japan","svettel",90.466,1
"2011japan","vpetrov",92.245,1
"2011japan","asutil",92.463,1
"2011japan","pdiresta",92.746,1
"2011japan","rbarrichello",93.079,1
"2011japan","pmaldonado",93.224,1
"2011japan","sbuemi",93.227,1
"2011japan","jalguersuari",93.427,1.133
"2011japan","sperez",NA,0
"2011japan","hkovalainen",93.77,1
"2011japan","jtrulli",93.83,1
"2011japan","jbutton",90.475,1
"2011japan","jdambrosio",94.755,1
"2011japan","tglock",94.823,1
"2011japan","dricciardo",96.162,1
"2011japan","nrosberg",NA,0
"2011japan","vliuzzi",NA,0
"2011japan","lhamilton",90.617,1
"2011japan","fmassa",90.804,1
"2011japan","falonso",90.886,1
"2011japan","mwebber",91.156,1
"2011japan","kkobayashi",92.38,1
"2011japan","mschumacher",92.116,1
"2011japan","bsenna",92.297,1
"2011japan","nhulkenberg",NA,0
"2011japan","kchandhok",NA,0
"2011japan","nkarthikeyan",NA,0
"2011korea","lhamilton",95.82,1
"2011korea","asutil",98.134,1
"2011korea","jalguersuari",98.523,2
"2011korea","mschumacher",98.269,1
"2011korea","sbuemi",98.6,2
"2011korea","kkobayashi",98.789,2
"2011korea","bsenna",98.716,1.411
"2011korea","pmaldonado",98.982,2
"2011korea","sperez",98.94,2
"2011korea","rbarrichello",98.962,0.856
"2011korea","hkovalainen",99.946,1
"2011korea","svettel",96.042,1
"2011korea","jtrulli",100.525,1
"2011korea","tglock",101.515,1
"2011korea","jdambrosio",102.907,1
"2011korea","vliuzzi",103.182,1
"2011korea","dricciardo",NA,0
"2011korea","jbutton",96.126,1
"2011korea","mwebber",96.468,1
"2011korea","fmassa",96.831,1
"2011korea","falonso",96.98,1
"2011korea","nrosberg",97.775,1.667
"2011korea","vpetrov",98.103,2.067
"2011korea","pdiresta",98.153,1.089
"2011korea","kchandhok",NA,0
"2011korea","nkarthikeyan",NA,0
"2011korea","jvergne",NA,0
"2011india","svettel",84.178,1
"2011india","jalguersuari",86.25,2
"2011india","mschumacher",86.233,1
"2011india","pdiresta",86.399,1
"2011india","pmaldonado",86.495,2
"2011india","bsenna",86.53,1.489
"2011india","rbarrichello",87.175,2
"2011india","vpetrov",86.202,1.044
"2011india","kkobayashi",87.605,0.978
"2011india","hkovalainen",88.294,1
"2011india","jtrulli",88.481,1
"2011india","mwebber",84.508,1
"2011india","sperez",87.218,2
"2011india","jdambrosio",90.595,1
"2011india","tglock",NA,0
"2011india","dricciardo",89.945,1
"2011india","nkarthikeyan",89.967,1
"2011india","falonso",84.519,1
"2011india","jbutton",84.95,1
"2011india","lhamilton",84.474,1
"2011india","fmassa",85.122,1
"2011india","nrosberg",85.451,1.633
"2011india","asutil",86.036,1
"2011india","sbuemi",86.197,2
"2011india","kchandhok",NA,0
"2011abudhabi","svettel",98.481,1
"2011abudhabi","pdiresta",100.755,1
"2011abudhabi","sperez",101.215,1
"2011abudhabi","vpetrov",101.26,1
"2011abudhabi","sbuemi",101.35,1.022
"2011abudhabi","bsenna",101.42,1
"2011abudhabi","jalguersuari",101.503,1
"2011abudhabi","kkobayashi",101.581,1
"2011abudhabi","hkovalainen",102.592,1
"2011abudhabi","jtrulli",103.497,1
"2011abudhabi","tglock",104.128,1
"2011abudhabi","lhamilton",98.622,1
"2011abudhabi","dricciardo",104.254,1
"2011abudhabi","jdambrosio",104.312,1
"2011abudhabi","vliuzzi",104.772,1
"2011abudhabi","pmaldonado",102.101,1
"2011abudhabi","rbarrichello",NA,0
"2011abudhabi","jbutton",98.631,1
"2011abudhabi","mwebber",98.858,1
"2011abudhabi","falonso",99.058,1
"2011abudhabi","fmassa",99.695,1
"2011abudhabi","nrosberg",99.768,1.711
"2011abudhabi","mschumacher",100.778,2
"2011abudhabi","asutil",100.657,2
"2011abudhabi","jvergne",NA,0
"2011abudhabi","rgrosjean",NA,0
"2011abudhabi","rwickens",NA,0
"2011brazil","svettel",71.918,1
"2011brazil","mschumacher",73.804,1
"2011brazil","pdiresta",73.799,1.056
"2011brazil","rbarrichello",73.953,2
"2011brazil","jalguersuari",74.008,2
"2011brazil","sbuemi",74.203,2
"2011brazil","vpetrov",74.264,1.033
"2011brazil","kkobayashi",74.346,1.767
"2011brazil","sperez",74.3,2
"2011brazil","pmaldonado",74.38,1
"2011brazil","hkovalainen",74.823,1
"2011brazil","mwebber",72.099,1
"2011brazil","jtrulli",75.113,1
"2011brazil","vliuzzi",76.386,1
"2011brazil","dricciardo",76.645,1
"2011brazil","jdambrosio",76.774,1
"2011brazil","tglock",76.815,1
"2011brazil","jbutton",72.283,1
"2011brazil","lhamilton",72.48,1
"2011brazil","falonso",72.591,1
"2011brazil","nrosberg",72.948,1.7
"2011brazil","fmassa",73.073,1.011
"2011brazil","asutil",73.393,2.033
"2011brazil","bsenna",73.763,2.522
"2011brazil","nhulkenberg",NA,0
"2011brazil","lrazia",NA,0
"2011brazil","jvergne",NA,0
"2011brazil","rgrosjean",NA,0
"2011brazil","jcharouz",NA,0
"2012australia","lhamilton",84.962,1.111
"2012australia","dricciardo",86.184,2
"2012australia","jvergne",85.973,2
"2012australia","falonso",86.193,1
"2012australia","kkobayashi",86.119,1.278
"2012australia","bsenna",86.346,2
"2012australia","pdiresta",86.788,1.367
"2012australia","fmassa",87.15,1.244
"2012australia","kraikkonen",87.083,0.022
"2012australia","hkovalainen",88.004,1
"2012australia","vpetrov",88.343,1
"2012australia","jbutton",85.218,2
"2012australia","tglock",90.248,1
"2012australia","cpic",90.995,1
"2012australia","sperez",85.921,0.144
"2012australia","pdelarosa",NA,0
"2012australia","nkarthikeyan",NA,0
"2012australia","rgrosjean",85.412,1.833
"2012australia","mschumacher",85.307,2.011
"2012australia","mwebber",85.754,1.422
"2012australia","svettel",85.672,1.422
"2012australia","nrosberg",85.427,2
"2012australia","pmaldonado",85.91,2.033
"2012australia","nhulkenberg",86.336,2.456
"2012malaysia","lhamilton",96.34,1.367
"2012malaysia","kraikkonen",96.377,2.022
"2012malaysia","pmaldonado",97.153,1
"2012malaysia","fmassa",97.323,1.233
"2012malaysia","bsenna",97.453,2
"2012malaysia","pdiresta",97.43,1.256
"2012malaysia","dricciardo",97.465,2
"2012malaysia","nhulkenberg",97.437,1.233
"2012malaysia","kkobayashi",97.58,1.367
"2012malaysia","jvergne",98.141,1
"2012malaysia","vpetrov",98.631,1
"2012malaysia","jbutton",96.43,2
"2012malaysia","tglock",99.967,1
"2012malaysia","cpic",100.314,1
"2012malaysia","pdelarosa",101.978,1
"2012malaysia","nkarthikeyan",102.719,1
"2012malaysia","hkovalainen",98.37,1
"2012malaysia","mschumacher",96.486,2
"2012malaysia","mwebber",96.7,2
"2012malaysia","svettel",96.787,1.778
"2012malaysia","rgrosjean",96.78,2
"2012malaysia","nrosberg",96.612,2
"2012malaysia","falonso",97.254,2.044
"2012malaysia","sperez",97.355,2.078
"2012malaysia","vbottas",NA,0
"2012china","nrosberg",95.485,2
"2012china","rgrosjean",96.028,1
"2012china","svettel",96.156,0.967
"2012china","fmassa",96.373,1.222
"2012china","pmaldonado",96.408,1
"2012china","bsenna",96.438,2
"2012china","pdiresta",96.439,1.2
"2012china","nhulkenberg",96.845,1.178
"2012china","dricciardo",96.901,2
"2012china","hkovalainen",98.252,1
"2012china","vpetrov",98.466,1
"2012china","mschumacher",95.805,2
"2012china","tglock",99.071,1
"2012china","cpic",99.506,1
"2012china","pdelarosa",100.2,1
"2012china","nkarthikeyan",100.789,1
"2012china","jvergne",97.503,1
"2012china","kkobayashi",95.991,2.333
"2012china","kraikkonen",95.979,2.022
"2012china","jbutton",96.129,2
"2012china","mwebber",96.057,2
"2012china","lhamilton",95.721,1.311
"2012china","sperez",96.216,2.211
"2012china","falonso",96.364,2
"2012china","vbottas",NA,0
"2012china","jbianchi",NA,0
"2012china","gvandergarde",NA,0
"2012bahrain","svettel",92.612,1.578
"2012bahrain","pdiresta",93.119,1.256
"2012bahrain","kraikkonen",93.209,1.011
"2012bahrain","kkobayashi",93.249,1.211
"2012bahrain","nhulkenberg",93.355,1.267
"2012bahrain","fmassa",93.345,1.067
"2012bahrain","bsenna",93.578,2
"2012bahrain","hkovalainen",94.829,2
"2012bahrain","jvergne",94.274,1
"2012bahrain","vpetrov",95.083,1
"2012bahrain","cpic",96.943,1
"2012bahrain","lhamilton",92.537,1.2
"2012bahrain","pdelarosa",97.143,1
"2012bahrain","pmaldonado",NA,0
"2012bahrain","mschumacher",NA,0
"2012bahrain","tglock",97.165,1
"2012bahrain","nkarthikeyan",97.574,1
"2012bahrain","mwebber",92.672,1.667
"2012bahrain","jbutton",92.766,1.867
"2012bahrain","nrosberg",92.727,2
"2012bahrain","dricciardo",93.043,3
"2012bahrain","rgrosjean",92.845,1.878
"2012bahrain","sperez",93.223,2.144
"2012bahrain","falonso",92.817,1
"2012bahrain","vbottas",NA,0
"2012spain","pmaldonado",82.105,2.022
"2012spain","jbutton",82.755,1
"2012spain","mwebber",82.788,1
"2012spain","pdiresta",82.94,1.178
"2012spain","nhulkenberg",82.946,1.367
"2012spain","jvergne",83.275,2
"2012spain","dricciardo",83.136,2
"2012spain","fmassa",83.225,1.133
"2012spain","bsenna",84.094,1
"2012spain","vpetrov",84.39,1
"2012spain","hkovalainen",84.62,1
"2012spain","falonso",82.487,2
"2012spain","cpic",85.695,1
"2012spain","tglock",86.145,1
"2012spain","pdelarosa",86.668,1
"2012spain","nkarthikeyan",NA,0
"2012spain","lhamilton",82.276,0.278
"2012spain","rgrosjean",82.451,2
"2012spain","kraikkonen",82.577,2
"2012spain","sperez",82.567,2.022
"2012spain","nrosberg",82.849,2
"2012spain","svettel",82.695,1
"2012spain","mschumacher",82.716,1.011
"2012spain","kkobayashi",82.664,1.267
"2012spain","vbottas",NA,0
"2012spain","jbianchi",NA,0
"2012spain","arossi",NA,0
"2012spain","dclos",NA,0
"2012monaco","mwebber",74.538,1.922
"2012monaco","nhulkenberg",75.094,1
"2012monaco","kkobayashi",75.181,1
"2012monaco","jbutton",75.209,1
"2012monaco","bsenna",75.432,1.133
"2012monaco","pdiresta",75.391,1
"2012monaco","dricciardo",75.594,1.067
"2012monaco","jvergne",76.465,2
"2012monaco","hkovalainen",76.419,1
"2012monaco","vpetrov",77.285,1
"2012monaco","tglock",77.828,1
"2012monaco","nrosberg",74.571,2
"2012monaco","pdelarosa",77.977,1
"2012monaco","cpic",78.357,1
"2012monaco","nkarthikeyan",79.191,1
"2012monaco","sperez",NA,0
"2012monaco","pmaldonado",74.972,2
"2012monaco","lhamilton",74.64,1.289
"2012monaco","rgrosjean",74.765,2
"2012monaco","falonso",74.874,2
"2012monaco","mschumacher",74.518,2
"2012monaco","fmassa",74.816,2
"2012monaco","kraikkonen",75.097,2
"2012monaco","svettel",74.907,0.722
"2012canada","svettel",73.952,1.833
"2012canada","jbutton",74.914,2
"2012canada","kkobayashi",74.702,1.378
"2012canada","kraikkonen",74.7,1
"2012canada","nhulkenberg",74.733,1.189
"2012canada","dricciardo",75.162,2
"2012canada","sperez",75.109,1.244
"2012canada","bsenna",74.93,2
"2012canada","hkovalainen",75.992,1
"2012canada","vpetrov",76.211,1
"2012canada","jvergne",76.331,1
"2012canada","lhamilton",74.162,1.433
"2012canada","pdelarosa",77.221,1
"2012canada","tglock",77.63,1
"2012canada","pmaldonado",75.152,1.1
"2012canada","cpic",77.984,1
"2012canada","nkarthikeyan",78.059,1
"2012canada","falonso",74.215,2
"2012canada","mwebber",74.395,1.989
"2012canada","nrosberg",74.472,2
"2012canada","fmassa",74.567,2.178
"2012canada","rgrosjean",74.619,2
"2012canada","pdiresta",74.662,2.178
"2012canada","mschumacher",74.629,2.056
"2012europe","svettel",98.282,1.667
"2012europe","pdiresta",98.778,2
"2012europe","falonso",98.752,1
"2012europe","mschumacher",98.815,1
"2012europe","fmassa",98.825,1
"2012europe","bsenna",99.3,1.133
"2012europe","sperez",99.403,1
"2012europe","hkovalainen",100.319,2
"2012europe","dricciardo",100.377,1.111
"2012europe","jvergne",100.414,0.767
"2012europe","mwebber",NA,0
"2012europe","lhamilton",98.45,1.189
"2012europe","vpetrov",100.668,1
"2012europe","pdelarosa",102.382,1
"2012europe","nkarthikeyan",102.738,1
"2012europe","cpic",102.886,1
"2012europe","pmaldonado",98.545,2
"2012europe","rgrosjean",98.52,2
"2012europe","kraikkonen",98.545,2
"2012europe","nrosberg",98.586,2
"2012europe","kkobayashi",98.745,2
"2012europe","nhulkenberg",98.743,2
"2012europe","jbutton",98.705,2
"2012europe","tglock",NA,0
"2012europe","vbottas",NA,0
"2012europe","jbianchi",NA,0
"2012greatbritain","falonso",NA,0
"2012greatbritain","pdiresta",NA,0
"2012greatbritain","nrosberg",NA,0
"2012greatbritain","dricciardo",NA,0
"2012greatbritain","bsenna",NA,0
"2012greatbritain","nhulkenberg",NA,0
"2012greatbritain","sperez",NA,0
"2012greatbritain","jbutton",NA,0
"2012greatbritain","kkobayashi",NA,0
"2012greatbritain","vpetrov",NA,0
"2012greatbritain","hkovalainen",NA,0
"2012greatbritain","mwebber",NA,0
"2012greatbritain","tglock",NA,0
"2012greatbritain","pdelarosa",NA,0
"2012greatbritain","nkarthikeyan",NA,0
"2012greatbritain","jvergne",NA,0
"2012greatbritain","cpic",NA,0
"2012greatbritain","mschumacher",NA,0
"2012greatbritain","svettel",NA,0
"2012greatbritain","fmassa",NA,0
"2012greatbritain","kraikkonen",NA,0
"2012greatbritain","pmaldonado",NA,0
"2012greatbritain","lhamilton",NA,0
"2012greatbritain","rgrosjean",NA,0
"2012greatbritain","vbottas",NA,0
"2012greatbritain","jbianchi",NA,0
"2012greatbritain","dclos",NA,0
"2012germany","falonso",NA,0
"2012germany","kraikkonen",NA,0
"2012germany","dricciardo",76.516,1
"2012germany","kkobayashi",76.481,0.356
"2012germany","fmassa",NA,0
"2012germany","bsenna",76.426,1
"2012germany","jvergne",76.741,1
"2012germany","hkovalainen",77.62,1
"2012germany","sperez",75.726,0.167
"2012germany","vpetrov",78.531,1
"2012germany","rgrosjean",NA,0
"2012germany","svettel",NA,0
"2012germany","cpic",79.22,1
"2012germany","nrosberg",NA,0
"2012germany","tglock",79.291,1
"2012germany","pdelarosa",79.912,1
"2012germany","nkarthikeyan",80.23,1
"2012germany","mschumacher",76.686,0.122
"2012germany","nhulkenberg",76.271,0.122
"2012germany","pmaldonado",NA,0
"2012germany","jbutton",NA,0
"2012germany","lhamilton",NA,0
"2012germany","mwebber",NA,0
"2012germany","pdiresta",76.352,0.267
"2012germany","vbottas",NA,0
"2012germany","jbianchi",NA,0
"2012germany","dclos",NA,0
"2012hungary","lhamilton",81.032,1.244
"2012hungary","nhulkenberg",82.369,2.244
"2012hungary","mwebber",82.013,0.978
"2012hungary","pdiresta",82.077,1.156
"2012hungary","nrosberg",82.181,1.078
"2012hungary","sperez",82.186,1.056
"2012hungary","kkobayashi",82.643,1.422
"2012hungary","jvergne",82.714,2
"2012hungary","mschumacher",83.014,1.011
"2012hungary","dricciardo",83.201,1
"2012hungary","hkovalainen",83.527,1
"2012hungary","rgrosjean",81.66,2
"2012hungary","vpetrov",84.118,1
"2012hungary","cpic",85.195,1
"2012hungary","tglock",85.427,1
"2012hungary","pdelarosa",85.867,1
"2012hungary","nkarthikeyan",86.129,1
"2012hungary","svettel",81.512,1.5
"2012hungary","jbutton",81.749,2
"2012hungary","kraikkonen",81.805,2
"2012hungary","falonso",81.87,2
"2012hungary","fmassa",81.866,2
"2012hungary","pmaldonado",81.87,2
"2012hungary","bsenna",82.187,3
"2012hungary","vbottas",NA,0
"2012hungary","jbianchi",NA,0
"2012hungary","dclos",NA,0
"2012belgium","jbutton",107.471,1.978
"2012belgium","svettel",108.505,0.611
"2012belgium","nhulkenberg",108.573,1.144
"2012belgium","mwebber",108.334,1.767
"2012belgium","mschumacher",108.818,1.144
"2012belgium","fmassa",108.859,1.022
"2012belgium","jvergne",109.039,2
"2012belgium","dricciardo",109.038,2
"2012belgium","bsenna",109.504,2
"2012belgium","hkovalainen",110.988,1
"2012belgium","vpetrov",111.216,1
"2012belgium","kkobayashi",108.219,2.4
"2012belgium","tglock",111.585,1
"2012belgium","pdelarosa",112.279,1
"2012belgium","cpic",112.742,1
"2012belgium","nrosberg",NA,0
"2012belgium","nkarthikeyan",114.238,1
"2012belgium","kraikkonen",108.166,2
"2012belgium","sperez",108.036,2.189
"2012belgium","falonso",108.312,2
"2012belgium","pmaldonado",108.193,2
"2012belgium","lhamilton",108.376,1.178
"2012belgium","rgrosjean",108.482,2
"2012belgium","pdiresta",108.698,2.111
"2012belgium","vbottas",NA,0
"2012belgium","dclos",NA,0
"2012italy","lhamilton",84.052,1.078
"2012italy","falonso",85.061,2
"2012italy","mwebber",85.012,0.467
"2012italy","sperez",85.104,1
"2012italy","bsenna",85.235,1.044
"2012italy","dricciardo",85.517,1.033
"2012italy","jdambrosio",85.644,1.533
"2012italy","jvergne",85.618,1.267
"2012italy","hkovalainen",86.254,1
"2012italy","vpetrov",86.759,1
"2012italy","tglock",86.911,1
"2012italy","jbutton",84.289,1.922
"2012italy","cpic",86.945,1
"2012italy","nkarthikeyan",87.313,1
"2012italy","pmaldonado",85.023,1
"2012italy","pdelarosa",87.501,1
"2012italy","nhulkenberg",NA,0
"2012italy","fmassa",84.477,2
"2012italy","mschumacher",84.709,2
"2012italy","svettel",84.824,1.333
"2012italy","nrosberg",84.775,2
"2012italy","kraikkonen",84.9,2
"2012italy","kkobayashi",84.997,2
"2012italy","pdiresta",84.426,2
"2012italy","vbottas",NA,0
"2012italy","jbianchi",NA,0
"2012italy","mhua",NA,0
"2012singapore","lhamilton",106.361,1.278
"2012singapore","nrosberg",107.653,1.022
"2012singapore","nhulkenberg",107.79,1.156
"2012singapore","kraikkonen",107.952,1
"2012singapore","fmassa",108.035,1
"2012singapore","sperez",108.183,1.156
"2012singapore","dricciardo",108.265,2
"2012singapore","jvergne",108.573,2
"2012singapore","kkobayashi",108.976,0.433
"2012singapore","vpetrov",109.889,1
"2012singapore","hkovalainen",110.18,1
"2012singapore","pmaldonado",107.048,2
"2012singapore","tglock",110.413,1
"2012singapore","cpic",110.805,1
"2012singapore","bsenna",108.852,1
"2012singapore","nkarthikeyan",111.415,1
"2012singapore","pdelarosa",112.398,1
"2012singapore","svettel",106.775,1.444
"2012singapore","jbutton",107.145,2
"2012singapore","falonso",107.237,2
"2012singapore","pdiresta",107.284,2.144
"2012singapore","mwebber",107.376,1.578
"2012singapore","rgrosjean",107.504,2
"2012singapore","mschumacher",107.581,1.067
"2012singapore","mhua",NA,0
"2012japan","svettel",90.996,1.433
"2012japan","fmassa",92.15,1
"2012japan","pdiresta",92.232,1.122
"2012japan","pmaldonado",92.369,1
"2012japan","nrosberg",92.485,1.011
"2012japan","dricciardo",92.797,2
"2012japan","nhulkenberg",92.147,1.044
"2012japan","bsenna",93.128,1
"2012japan","hkovalainen",94.38,1
"2012japan","tglock",94.936,1
"2012japan","jvergne",93.159,2
"2012japan","mwebber",91.329,1.5
"2012japan","pdelarosa",95.108,1
"2012japan","cpic",95.152,1
"2012japan","vpetrov",95.155,1
"2012japan","mschumacher",92.35,1.033
"2012japan","nkarthikeyan",96.457,1
"2012japan","kkobayashi",91.731,2.522
"2012japan","rgrosjean",91.872,2
"2012japan","sperez",92.009,2.211
"2012japan","falonso",91.902,2
"2012japan","kraikkonen",91.946,2
"2012japan","jbutton",91.46,2
"2012japan","lhamilton",92.244,1.311
"2012japan","vbottas",NA,0
"2012japan","gvandergarde",NA,0
"2012korea","mwebber",97.475,1.611
"2012korea","mschumacher",98.304,2.078
"2012korea","jbutton",98.076,1
"2012korea","sperez",98.127,1.1
"2012korea","kkobayashi",98.346,1.644
"2012korea","pdiresta",98.33,1.122
"2012korea","pmaldonado",98.371,1.022
"2012korea","jvergne",98.764,2
"2012korea","bsenna",99.252,1
"2012korea","vpetrov",100.016,1
"2012korea","hkovalainen",100.142,1
"2012korea","svettel",97.343,1.444
"2012korea","tglock",101.18,1
"2012korea","dricciardo",98.656,2
"2012korea","pdelarosa",102.69,1
"2012korea","nkarthikeyan",NA,0
"2012korea","cpic",101.126,1
"2012korea","lhamilton",97.5,1.233
"2012korea","falonso",97.578,2
"2012korea","kraikkonen",97.744,2
"2012korea","fmassa",97.886,2
"2012korea","rgrosjean",97.922,2
"2012korea","nhulkenberg",98.178,2.044
"2012korea","nrosberg",98.213,2.022
"2012korea","vbottas",NA,0
"2012korea","jbianchi",NA,0
"2012korea","gvandergarde",NA,0
"2012korea","dclos",NA,0
"2012india","svettel",85.348,1.378
"2012india","nrosberg",86.062,1.078
"2012india","rgrosjean",86.22,1
"2012india","nhulkenberg",86.34,1.033
"2012india","bsenna",86.449,2
"2012india","mschumacher",86.703,1.111
"2012india","dricciardo",86.749,2
"2012india","pdiresta",87.075,1.111
"2012india","kkobayashi",87.24,1.689
"2012india","jvergne",87.157,1
"2012india","vpetrov",88.388,1
"2012india","mwebber",85.44,1.444
"2012india","hkovalainen",89.132,1
"2012india","tglock",89.245,1
"2012india","pdelarosa",90.224,1
"2012india","nkarthikeyan",90.225,1
"2012india","cpic",90.294,1
"2012india","lhamilton",85.592,1.156
"2012india","jbutton",85.605,2
"2012india","falonso",85.845,2
"2012india","fmassa",86.026,2
"2012india","kraikkonen",86.21,2
"2012india","sperez",86.297,2.144
"2012india","pmaldonado",86.39,2
"2012india","vbottas",NA,0
"2012india","gvandergarde",NA,0
"2012india","egutierrez",NA,0
"2012abudhabi","lhamilton",100.635,1.211
"2012abudhabi","nhulkenberg",101.762,1.111
"2012abudhabi","sperez",101.817,1.167
"2012abudhabi","pdiresta",101.93,1.144
"2012abudhabi","mschumacher",102.02,1.111
"2012abudhabi","bsenna",102.208,2
"2012abudhabi","kkobayashi",102.477,1.833
"2012abudhabi","dricciardo",102.417,2
"2012abudhabi","jvergne",103.086,1
"2012abudhabi","hkovalainen",103.984,1
"2012abudhabi","cpic",104.117,1
"2012abudhabi","mwebber",100.997,1.467
"2012abudhabi","vpetrov",104.179,1
"2012abudhabi","tglock",104.454,1
"2012abudhabi","pdelarosa",104.794,1
"2012abudhabi","nkarthikeyan",105.41,1
"2012abudhabi","svettel",101.125,1.356
"2012abudhabi","pmaldonado",101.446,2
"2012abudhabi","kraikkonen",101.276,2
"2012abudhabi","jbutton",101.461,2
"2012abudhabi","falonso",101.428,2
"2012abudhabi","nrosberg",101.53,2
"2012abudhabi","fmassa",101.664,2
"2012abudhabi","rgrosjean",101.579,2
"2012abudhabi","vbottas",NA,0
"2012abudhabi","jbianchi",NA,0
"2012abudhabi","gvandergarde",NA,0
"2012abudhabi","mhua",NA,0
"2012abudhabi","mchilton",NA,0
"2012usa","svettel",95.671,1.144
"2012usa","bsenna",97.42,2
"2012usa","fmassa",96.729,2
"2012usa","jbutton",97.588,1
"2012usa","pdiresta",97.667,1.167
"2012usa","jvergne",98.014,2
"2012usa","sperez",98.189,1.189
"2012usa","kkobayashi",98.307,1.7
"2012usa","nrosberg",98.482,1.067
"2012usa","dricciardo",98.857,1
"2012usa","tglock",99.799,1
"2012usa","lhamilton",95.866,1.111
"2012usa","cpic",100.407,1
"2012usa","vpetrov",100.552,1
"2012usa","hkovalainen",100.909,1
"2012usa","pdelarosa",101.754,1
"2012usa","nkarthikeyan",102.483,1
"2012usa","mwebber",96.207,1.522
"2012usa","kraikkonen",97.042,2
"2012usa","mschumacher",96.958,2.067
"2012usa","nhulkenberg",97.09,2
"2012usa","falonso",97.198,2
"2012usa","rgrosjean",96.733,2
"2012usa","pmaldonado",97.413,2
"2012usa","mhua",NA,0
"2012brazil","lhamilton",72.484,1.1
"2012brazil","pdiresta",73.464,1
"2012brazil","bsenna",73.562,1
"2012brazil","sperez",73.577,1
"2012brazil","mschumacher",73.677,1
